90,28,21,61
88,26,19,67
88,19,25,68
90,14,15,81
81,22,29,68
84,22,23,71
79,26,16,79
87,17,12,84
71,25,27,77
75,22,27,76
79,12,23,86
74,12,18,96
72,25,7,96
76,15,22,87
71,18,25,86
70,21,16,93
81,17,16,86
79,24,20,77
79,30,29,62
79,31,25,65
87,19,34,60
79,22,16,83
82,27,18,73
82,23,29,66
87,24,28,61
81,38,28,53
77,22,16,85
81,23,21,75
81,25,18,76
87,25,22,66
85,25,12,78
71,16,17,96
68,20,18,94
82,25,31,62
75,19,28,78
71,15,21,93
67,28,20,85
88,25,25,62
77,24,20,79
76,24,28,72
86,17,19,78
92,22,22,64
83,36,18,63
81,25,28,66
79,22,22,77
81,20,21,78
81,15,15,89
86,30,18,66
86,20,27,67
77,24,24,75
71,23,24,82
76,21,17,86
65,21,15,99
74,22,26,78
69,10,13,108
71,13,12,104
72,16,20,92
68,17,19,96
74,20,18,88
72,25,18,85
70,20,23,87
71,17,15,97
77,19,19,85
69,19,18,94
71,14,14,101
79,30,19,72
78,19,30,73
74,16,22,88
70,16,10,104
89,23,26,62
80,28,19,73
70,22,10,98
68,5,9,118
71,20,26,83
71,18,16,95
63,13,16,108
79,23,19,79
73,19,20,88
75,22,19,84
85,18,24,73
75,31,24,70
69,27,37,67
77,23,27,73
67,18,9,106
74,22,17,87
69,14,21,96
80,16,26,78
76,14,24,86
72,23,18,87
70,29,16,85
78,18,12,92
70,11,11,108
70,15,15,100
69,26,22,83
65,12,28,95
83,20,24,73
82,19,23,76
76,22,17,85
81,21,32,66
77,29,27,67
69,34,20,77
68,23,24,85
76,26,20,78
69,30,15,86
68,22,26,84
67,20,21,92
81,11,26,82
76,24,16,84
62,15,16,107
84,23,28,65
84,25,27,64
94,17,35,54
83,26,16,75
81,30,20,69
84,38,24,54
82,19,17,82
81,23,25,71
82,20,19,79
73,16,20,91
75,18,28,79
78,15,18,89
83,16,20,81
83,27,16,74
76,11,28,85
77,16,15,92
80,22,8,90
78,28,19,75
81,20,17,82
86,18,16,80
84,17,17,82
75,18,21,86
68,11,11,110
87,27,23,63
